window_id,type,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
0,TRANSFER,299,237317.49,0.0,0.0,519613.26,756930.75,0
0,CASH_IN,329,13420.33,21351280.43,21364700.76,17751.56,4331.23,0
0,CASH_OUT,136,633278.45,16623.0,0.0,272430.78,905709.22,0
0,PAYMENT,333,11652.33,0.0,0.0,0.0,0.0,0
0,CASH_OUT,208,393104.15,22039.0,0.0,1780178.01,2173282.16,0
0,PAYMENT,397,36075.46,32707.0,0.0,0.0,0.0,0
0,PAYMENT,183,21699.66,0.0,0.0,0.0,0.0,0
0,CASH_IN,286,137083.48,3780397.93,3917481.41,1216602.68,1079519.2,0
0,PAYMENT,327,12925.81,9543.0,0.0,0.0,0.0,0
0,CASH_IN,203,8240.38,21177.0,29417.38,0.0,0.0,0
0,CASH_OUT,37,26980.06,10806.0,0.0,0.0,274195.98,0
0,CASH_OUT,402,154143.82,64145.0,0.0,10287.48,164431.3,0
0,CASH_OUT,331,57955.33,60212.0,2256.67,209249.11,267204.44,0
0,PAYMENT,377,12320.41,26349.0,14028.59,0.0,0.0,0
0,CASH_IN,136,168969.77,283754.94,452724.71,451196.51,317394.08,0
0,CASH_OUT,278,197157.3,40096.0,0.0,525900.11,737612.51,0
0,TRANSFER,270,79712.37,79712.37,0.0,0.0,0.0,1
0,CASH_IN,256,168612.77,31950.0,200562.77,0.0,0.0,0
0,PAYMENT,373,12152.85,52152.0,39999.15,0.0,0.0,0
0,CASH_OUT,304,384959.92,0.0,0.0,622519.52,1007479.44,0
0,CASH_OUT,139,200857.8,0.0,0.0,587977.35,788835.15,0
0,CASH_OUT,160,14300.49,0.0,0.0,1453303.73,1467604.22,0
0,CASH_OUT,329,43704.44,0.0,0.0,1004874.4,1048578.84,0
0,PAYMENT,11,17013.35,0.0,0.0,0.0,0.0,0
0,CASH_OUT,232,315712.3,16157.0,0.0,44989.23,360701.53,0
0,PAYMENT,228,21504.46,107192.0,85687.54,0.0,0.0,0
0,CASH_OUT,379,98998.56,31169.0,0.0,0.0,98998.56,0
0,PAYMENT,138,6832.07,11582.0,4749.93,0.0,0.0,0
0,TRANSFER,262,68230.32,68230.32,0.0,0.0,0.0,1
0,PAYMENT,8,200.84,0.0,0.0,0.0,0.0,0
0,CASH_OUT,232,534162.86,0.0,0.0,953692.45,1487855.31,0
0,PAYMENT,659,22689.68,0.0,0.0,0.0,0.0,0
0,CASH_IN,283,218059.09,37931.0,255990.09,2170490.11,2574156.04,0
0,CASH_OUT,381,32633.36,645930.0,613296.64,2755096.51,2787729.87,0
0,CASH_OUT,42,105255.53,31977.0,0.0,10381874.83,10487130.36,0
0,PAYMENT,353,24188.67,0.0,0.0,0.0,0.0,0
0,CASH_IN,656,243706.29,62439.0,306145.29,0.0,0.0,0
0,TRANSFER,177,1213529.23,26775.0,0.0,8735.99,1222265.22,0
0,PAYMENT,257,15084.98,0.0,0.0,0.0,0.0,0
0,PAYMENT,134,29793.8,40783.0,10989.2,0.0,0.0,0
0,CASH_IN,348,65410.62,160136.0,225546.62,238920.58,173509.96,0
0,CASH_OUT,232,230339.69,510594.0,280254.31,141670.14,372009.84,0
0,TRANSFER,735,444898.97,444898.97,0.0,0.0,0.0,1
0,CASH_OUT,43,309146.18,10454.0,0.0,0.0,309146.18,0
0,CASH_OUT,310,15699.59,52109.47,36409.89,272028.83,287728.42,0
0,CASH_OUT,379,377758.5,0.0,0.0,684924.74,1062683.24,0
0,PAYMENT,280,603.87,11183.46,10579.58,0.0,0.0,0
0,TRANSFER,286,9440.84,23692.08,14251.24,418429.71,427870.55,0
0,PAYMENT,311,8288.34,2509.0,0.0,0.0,0.0,0
0,PAYMENT,403,3399.82,11149.0,7749.18,0.0,0.0,0
0,CASH_IN,306,228858.4,470346.93,699205.33,3659063.45,3430205.06,0
0,PAYMENT,630,1265.93,0.0,0.0,0.0,0.0,0
0,CASH_OUT,286,484219.07,0.0,0.0,671069.79,1155288.85,0
0,CASH_OUT,202,40758.68,0.0,0.0,516893.22,557651.9,0
0,TRANSFER,355,928273.87,0.0,0.0,7243762.11,8172035.98,0
0,CASH_OUT,19,152068.3,0.0,0.0,244470.0,215965.59,0
0,PAYMENT,12,4105.07,428.0,0.0,0.0,0.0,0
0,CASH_OUT,139,139180.5,216744.0,77563.5,0.0,139180.5,0
0,TRANSFER,42,839231.64,0.0,0.0,1329783.75,2169015.39,0
0,CASH_OUT,189,246571.6,29598.98,0.0,326238.45,572810.04,0
0,TRANSFER,143,409048.38,143404.61,0.0,500833.61,909881.99,0
0,CASH_OUT,252,273690.53,2388.0,0.0,0.0,273690.53,0
0,PAYMENT,9,11360.78,30172.7,18811.93,0.0,0.0,0
0,CASH_OUT,187,88870.41,11097.0,0.0,3071190.96,3160061.37,0
0,PAYMENT,329,26242.03,0.0,0.0,0.0,0.0,0
0,TRANSFER,482,24382.08,24382.08,0.0,0.0,0.0,1
0,CASH_OUT,284,268069.65,0.0,0.0,1172327.38,1440397.03,0
0,PAYMENT,275,16836.91,21328.0,4491.09,0.0,0.0,0
0,PAYMENT,135,1728.85,0.0,0.0,0.0,0.0,0
0,TRANSFER,20,422333.88,0.0,0.0,1362334.4,1784668.28,0
0,CASH_OUT,187,350757.79,0.0,0.0,2847181.91,3197939.7,0
0,CASH_OUT,115,1844357.26,1844357.26,0.0,3549005.46,5393362.71,1
0,CASH_OUT,379,167586.09,245569.47,77983.38,2998726.2,4218193.39,0
0,CASH_OUT,15,176987.87,0.0,0.0,1115651.98,1292639.85,0
0,PAYMENT,13,3710.19,0.0,0.0,0.0,0.0,0
0,TRANSFER,398,473812.72,0.0,0.0,10045111.14,10518923.86,0
0,TRANSFER,40,1093972.63,76209.0,0.0,3805567.39,4899540.02,0
0,CASH_OUT,350,325579.86,49002.0,0.0,0.0,325579.86,0
0,CASH_OUT,688,146418.05,11687.0,0.0,1633101.46,1779519.51,0
0,PAYMENT,217,711.26,115176.15,114464.9,0.0,0.0,0
0,CASH_IN,354,248386.53,19818.0,268204.53,0.0,0.0,0
0,CASH_OUT,214,51153.06,209.0,0.0,81194.24,132347.3,0
0,CASH_OUT,331,372663.86,0.0,0.0,828060.37,1200724.23,0
0,CASH_IN,186,337303.94,20915.0,358218.94,753001.56,415697.61,0
0,TRANSFER,131,500950.98,14230.0,0.0,0.0,500950.98,0
0,CASH_IN,691,460890.21,859694.0,1320584.21,9568238.99,9107348.78,0
0,PAYMENT,206,6019.7,0.0,0.0,0.0,0.0,0
0,CASH_IN,587,34071.19,7441.0,41512.19,0.0,0.0,0
0,CASH_OUT,236,66539.42,503.0,0.0,135777.93,202317.35,0
0,PAYMENT,253,26846.43,3076.0,0.0,0.0,0.0,0
0,CASH_OUT,41,264256.72,0.0,0.0,3608016.51,4209996.29,0
0,CASH_OUT,162,183917.55,409790.0,225872.45,0.0,183917.55,0
0,CASH_IN,46,157048.19,8025662.29,8182710.49,670075.7,513027.51,0
0,TRANSFER,212,2877068.1,0.0,0.0,3782705.02,6659773.12,0
0,TRANSFER,674,6250438.78,6250438.78,0.0,0.0,0.0,1
0,PAYMENT,41,22391.15,202657.0,180265.85,0.0,0.0,0
0,TRANSFER,202,284237.39,189124.57,0.0,6064069.31,6348306.7,0
0,TRANSFER,177,937740.65,0.0,0.0,2573007.36,3510748.0,0
0,CASH_IN,357,134892.13,3061153.0,3196045.13,2525474.88,2390582.75,0
0,PAYMENT,395,24205.01,20873.96,0.0,0.0,0.0,0
0,PAYMENT,299,8451.62,0.0,0.0,0.0,0.0,0
0,CASH_OUT,450,21708.13,21708.13,0.0,140777.56,162485.7,1
0,CASH_IN,329,133261.87,27415875.15,27549137.02,195968.86,62706.99,0
0,CASH_IN,164,34518.25,6320862.05,6355380.3,173292.94,138774.69,0
0,TRANSFER,204,948860.21,0.0,0.0,3701503.45,4650363.66,0
0,PAYMENT,407,21065.69,1157.0,0.0,0.0,0.0,0
0,CASH_OUT,485,2755588.11,2755588.11,0.0,2758109.87,5513697.98,1
0,PAYMENT,6,6716.16,0.0,0.0,0.0,0.0,0
0,PAYMENT,129,14313.66,0.0,0.0,0.0,0.0,0
0,CASH_OUT,209,134478.63,0.0,0.0,767229.15,901707.78,0
0,PAYMENT,258,2873.89,0.0,0.0,0.0,0.0,0
0,PAYMENT,379,587.76,46553.0,45965.24,0.0,0.0,0
0,CASH_OUT,297,25374.16,31114.0,5739.84,0.0,25374.16,0
0,PAYMENT,159,14295.2,266354.95,252059.75,0.0,0.0,0
0,CASH_OUT,43,53373.2,0.0,0.0,2361879.42,2415252.61,0
0,PAYMENT,12,56744.73,0.0,0.0,0.0,0.0,0
0,CASH_IN,36,9534.62,8380515.74,8390050.36,1070597.72,1061063.1,0
0,CASH_OUT,402,132673.53,83994.0,0.0,0.0,132673.53,0
0,PAYMENT,187,9364.29,16198.76,6834.47,0.0,0.0,0
0,CASH_IN,405,393688.89,633120.14,1026809.03,5336330.56,4942641.67,0
0,DEBIT,346,5342.44,0.0,0.0,728050.13,733392.56,0
0,TRANSFER,507,7239986.95,7239986.95,0.0,0.0,0.0,1
0,CASH_OUT,422,6302.25,106522.0,100219.75,154988.8,161291.05,0
0,CASH_IN,324,141080.37,1853791.51,1994871.88,523806.88,382726.51,0
0,CASH_OUT,374,84574.39,99288.37,14713.98,865298.61,949873.0,0
0,CASH_OUT,353,257809.6,0.0,0.0,533913.57,791723.18,0
0,CASH_OUT,257,164321.62,36435.0,0.0,243952.75,349493.8,0
0,CASH_IN,240,195279.76,2975750.28,3171030.04,198458.4,3178.64,0
